,County,Month,Year,Unemployment Monthly,Households,Persons,EBT Cash
1208,Napa,September,2020,7.6%,4065,7109,795331
1209,Nevada,September,2020,7.4%,5251,8186,986008
1210,Orange,September,2020,9.0%,135062,247703,28393567
1211,Placer,September,2020,7.1%,9475,18478,1761068
1212,Plumas,September,2020,7.8%,1347,2247,259715
1213,Riverside,September,2020,10.5%,130900,259321,31311590
1214,Sacramento,September,2020,9.8%,119020,229917,26634568
1215,San Benito,September,2020,8.7%,2667,5277,621657
1216,San Bernardino,September,2020,10.3%,162182,331506,40341061
1217,San Diego,September,2020,9.0%,199681,357489,39409491
1218,San Francisco,September,2020,8.4%,59799,83903,8915639
1219,San Joaquin,September,2020,11.4%,49307,99221,11385434
1220,San Luis Obispo,September,2020,7.2%,10539,17353,1968054
1221,San Mateo,September,2020,7.1%,16700,29251,3461728
1222,Santa Barbara,September,2020,7.4%,25492,45150,5423645
1223,Santa Clara,September,2020,7.0%,61748,104152,11899319
1224,Santa Cruz,September,2020,8.1%,17262,27613,3369456
1225,Shasta,September,2020,7.8%,14531,24505,2627869
1226,Sierra,September,2020,6.7%,162,254,25753
1227,Siskiyou,September,2020,8.5%,4164,7429,836085
1228,Solano,September,2020,9.7%,26246,45792,5227895
1229,Sonoma,September,2020,7.2%,20280,33120,3731579
1230,Stanislaus,September,2020,10.3%,38372,73796,8435539
1231,Sutter,September,2020,10.3%,5680,11623,1366415
1232,Tehama,September,2020,8.2%,5332,9918,1052655
1233,Trinity,September,2020,6.7%,1227,1972,243329
1234,Tulare,September,2020,12.2%,50621,112531,13177131
1235,Tuolumne,September,2020,9.6%,3152,4815,550370
1236,Ventura,September,2020,8.4%,37821,69793,8410461
1237,Yolo,September,2020,7.1%,13149,21350,2592495
1238,Yuba,September,2020,10.6%,7233,14336,1608066
1239,Statewide,October,2020,9.0%,2429072,4509104,551824579
1240,Alameda,October,2020,7.9%,81670,138417,16524612
1241,Alpine,October,2020,9.7%,63,105,11846
1242,Amador,October,2020,7.7%,1497,2573,308333
1243,Butte,October,2020,7.4%,17108,28177,3504238
1244,Calaveras,October,2020,6.6%,2795,4811,611483
1245,Colusa,October,2020,9.3%,900,1795,199240
1246,Contra Costa,October,2020,7.9%,42744,78584,9537552
1247,Del Norte,October,2020,9.0%,3071,5473,630745
1248,El Dorado,October,2020,6.4%,6933,11025,1396641
1249,Fresno,October,2020,9.3%,97441,267287,24537319
1250,Glenn,October,2020,6.3%,1608,3235,377959
1251,Humboldt,October,2020,6.6%,13837,21665,2796515
1252,Imperial,October,2020,18.8%,18022,38803,4647110
1253,Inyo,October,2020,6.5%,1056,1909,240618
1254,Kern,October,2020,10.6%,73942,158626,19850712
1255,Kings,October,2020,9.3%,11305,23776,2837492
1256,Lake,October,2020,7.7%,7422,12323,1477756
1257,Lassen,October,2020,5.2%,1764,3161,395448
1258,Los Angeles,October,2020,12.1%,778220,1331212,173120052
1259,Madera,October,2020,8.5%,12139,27556,3421096
1260,Marin,October,2020,5.4%,8332,12766,1738699
1261,Mariposa,October,2020,7.3%,1401,2331,289266
1262,Mendocino,October,2020,7.3%,6877,11851,1508998
1263,Merced,October,2020,9.3%,24349,51785,6423046
1264,Modoc,October,2020,5.9%,734,1341,152787
1265,Mono,October,2020,9.9%,465,737,93383
1266,Monterey,October,2020,7.8%,19116,38975,4875089
1267,Napa,October,2020,6.6%,3899,6765,803698
1268,Nevada,October,2020,6.4%,5005,7831,1010449
1269,Orange,October,2020,7.5%,129922,239606,28581505
1270,Placer,October,2020,6.0%,9387,14939,1775030
1271,Plumas,October,2020,6.9%,1303,2171,269850
1272,Riverside,October,2020,9.0%,123843,246522,31400183
1273,Sacramento,October,2020,8.4%,115408,224584,27291736
1274,San Benito,October,2020,7.5%,2546,5054,629989
1275,San Bernardino,October,2020,9.1%,153307,315453,40414398
1276,San Diego,October,2020,7.7%,195294,350744,39855562
1277,San Francisco,October,2020,6.9%,58267,81871,9200775
1278,San Joaquin,October,2020,10.0%,47975,96739,11776811
1279,San Luis Obispo,October,2020,6.0%,10342,17071,1998290
1280,San Mateo,October,2020,6.0%,16205,28446,3431077
1281,Santa Barbara,October,2020,6.3%,24434,43712,5410191
1282,Santa Clara,October,2020,5.9%,60864,102841,12288736
1283,Santa Cruz,October,2020,7.1%,16447,26541,3355409
1284,Shasta,October,2020,6.9%,14046,23602,2677847
1285,Sierra,October,2020,5.5%,160,246,26135
1286,Siskiyou,October,2020,7.3%,4103,7297,870324
1287,Solano,October,2020,8.5%,25400,44413,5195678
1288,Sonoma,October,2020,6.2%,19769,32419,3778260
1289,Stanislaus,October,2020,9.1%,36965,71656,8666637
1290,Sutter,October,2020,9.1%,5515,11358,1391656
1291,Tehama,October,2020,7.2%,5181,9620,1092600
1292,Trinity,October,2020,6.3%,1202,1945,255167
1293,Tulare,October,2020,10.9%,48487,108939,13550950
1294,Tuolumne,October,2020,8.3%,3106,4767,563394
1295,Ventura,October,2020,7.1%,36009,66740,8412377
1296,Yolo,October,2020,6.2%,12889,20999,2686046
1297,Yuba,October,2020,9.4%,6981,13914,1655784
1298,Statewide,November,2020,7.9%,2359544,4383800,527267959
1299,Alameda,November,2020,6.7%,78468,132809,15568349
1300,Alpine,November,2020,7.1%,60,100,10675
1301,Amador,November,2020,7.0%,1472,2529,296124
1302,Butte,November,2020,6.8%,16731,27522,3358435
1303,Calaveras,November,2020,5.9%,2758,4750,595055
1304,Colusa,November,2020,10.8%,896,1794,205632
1305,Contra Costa,November,2020,6.8%,41736,76656,9180650
1306,Del Norte,November,2020,7.6%,3055,5458,619181
1307,El Dorado,November,2020,5.7%,6753,10698,1326496
1308,Fresno,November,2020,8.6%,93977,260212,23084195
1309,Glenn,November,2020,6.0%,1580,3154,363152
1310,Humboldt,November,2020,6.0%,13462,21139,2669125
1311,Imperial,November,2020,16.4%,17590,37942,4455271
1312,Inyo,November,2020,5.8%,1013,1837,225453
1313,Kern,November,2020,9.4%,71641,154228,18986251
1314,Kings,November,2020,8.9%,11081,23371,2770590
1315,Lake,November,2020,7.3%,7311,12147,1425144
1316,Lassen,November,2020,5.3%,1732,3105,380499
1317,Los Angeles,November,2020,10.6%,759930,1299069,167140781
1318,Madera,November,2020,8.1%,11878,26926,3306781
1319,Marin,November,2020,4.7%,8151,12460,1664944
1320,Mariposa,November,2020,7.6%,1384,2290,277272
1321,Mendocino,November,2020,6.8%,6705,11491,1423685
1322,Merced,November,2020,9.0%,23951,50912,6254616
1323,Modoc,November,2020,6.2%,724,1313,153025
1324,Mono,November,2020,8.1%,428,696,88180
1325,Monterey,November,2020,7.7%,18502,37656,4638809
1326,Napa,November,2020,6.0%,3880,6807,794003
1327,Nevada,November,2020,5.6%,4938,7705,984651
1328,Orange,November,2020,6.4%,125767,232111,27325712
1329,Placer,November,2020,5.2%,9233,14555,1685135
1330,Plumas,November,2020,7.2%,1271,2106,252373
1331,Riverside,November,2020,7.8%,119370,237999,29584782
1332,Sacramento,November,2020,7.4%,111399,217345,25780578
1333,San Benito,November,2020,6.9%,2503,4999,620252
1334,San Bernardino,November,2020,8.0%,147899,303509,38289264
1335,San Diego,November,2020,6.6%,188349,338000,37747893
1336,San Francisco,November,2020,5.7%,57800,81234,8998075
1337,San Joaquin,November,2020,9.0%,47066,94825,11277641
1338,San Luis Obispo,November,2020,5.4%,10140,16697,1923451
1339,San Mateo,November,2020,5.1%,15733,27563,3255584
1340,Santa Barbara,November,2020,5.8%,23611,42238,5075751
1341,Santa Clara,November,2020,5.1%,59463,100289,11758793
1342,Santa Cruz,November,2020,6.7%,16017,25928,3204943
1343,Shasta,November,2020,6.5%,13650,22980,2545593
1344,Sierra,November,2020,5.0%,150,232,23100
1345,Siskiyou,November,2020,7.3%,4096,7222,842858
1346,Solano,November,2020,7.5%,24401,42611,4929175
1347,Sonoma,November,2020,5.5%,19059,31059,3559523
1348,Stanislaus,November,2020,8.3%,35741,69436,8224821
1349,Sutter,November,2020,8.6%,5406,11152,1346950
1350,Tehama,November,2020,6.8%,5051,9398,1045443
1351,Trinity,November,2020,6.1%,1161,1881,244017
1352,Tulare,November,2020,9.8%,46341,104666,12792744
1353,Tuolumne,November,2020,7.4%,3075,4726,545615
1354,Ventura,November,2020,6.3%,34752,68415,7973049
1355,Yolo,November,2020,5.8%,12383,20106,2555335
1356,Yuba,November,2020,8.7%,6870,13742,1612486
1357,Statewide,December,2020,8.8%,2346777,4355092,522050103
1358,Alameda,December,2020,7.6%,78156,131805,15364421
1359,Alpine,December,2020,7.3%,59,93,10445
1360,Amador,December,2020,8.4%,1462,2517,294707
1361,Butte,December,2020,8.2%,16485,27247,3273105
1362,Calaveras,December,2020,7.3%,2780,4825,591822
1363,Colusa,December,2020,15.5%,934,1865,211777
1364,Contra Costa,December,2020,7.9%,41836,76656,9117582
1365,Del Norte,December,2020,9.2%,3074,5462,625575
1366,El Dorado,December,2020,7.0%,6744,10677,1311431
1367,Fresno,December,2020,10.4%,93515,261526,23105415
1368,Glenn,December,2020,7.7%,1555,3079,349392
1369,Humboldt,December,2020,7.5%,13383,21034,2625302
1370,Imperial,December,2020,17.7%,17425,37648,4389718
1371,Inyo,December,2020,6.9%,1019,1862,227187
1372,Kern,December,2020,11.3%,70804,152838,18754363
1373,Kings,December,2020,11.0%,11034,23346,2747758
1374,Lake,December,2020,9.0%,7252,12022,1399253
1375,Lassen,December,2020,7.1%,1724,3094,382752
1376,Los Angeles,December,2020,10.7%,760063,1297558,165894150
1377,Madera,December,2020,9.9%,11841,26878,3274579
1378,Marin,December,2020,5.5%,8177,12521,1655712
1379,Mariposa,December,2020,10.3%,1420,2365,289954
1380,Mendocino,December,2020,8.1%,6756,11600,1414936
1381,Merced,December,2020,11.5%,23834,50703,6201440
1382,Modoc,December,2020,8.9%,713,1279,139828
1383,Mono,December,2020,8.9%,471,770,97653
1384,Monterey,December,2020,11.4%,19074,39244,4982404
1385,Napa,December,2020,7.3%,3969,6964,809621
1386,Nevada,December,2020,6.8%,4873,7626,952944
1387,Orange,December,2020,7.4%,125847,231110,27042339
1388,Placer,December,2020,6.2%,9214,14595,1690134
1389,Plumas,December,2020,10.7%,1294,2178,264268
1390,Riverside,December,2020,9.1%,118041,235562,28967440
1391,Sacramento,December,2020,8.5%,109847,213765,25387051
1392,San Benito,December,2020,8.7%,2562,5092,620818
1393,San Bernardino,December,2020,9.2%,143813,297337,37285215
1394,San Diego,December,2020,8.0%,188904,337549,37795713
1395,San Francisco,December,2020,6.4%,58481,82179,9068332
1396,San Joaquin,December,2020,10.6%,46980,94695,11236708
1397,San Luis Obispo,December,2020,6.7%,10267,16899,1935320
1398,San Mateo,December,2020,5.8%,15719,27421,3220048
1399,Santa Barbara,December,2020,7.6%,23565,42374,5090683
1400,Santa Clara,December,2020,5.9%,58957,99149,11603122
1401,Santa Cruz,December,2020,8.5%,15994,25950,3236912
1402,Shasta,December,2020,8.0%,13555,22869,2529430
1403,Sierra,December,2020,7.0%,161,244,26179
1404,Siskiyou,December,2020,10.7%,4113,7234,837687
1405,Solano,December,2020,8.8%,24227,42333,4837934
1406,Sonoma,December,2020,6.5%,18589,30337,3513408
1407,Stanislaus,December,2020,9.9%,35098,68315,8059698
1408,Sutter,December,2020,10.9%,5390,11226,1360661
1409,Tehama,December,2020,8.7%,4964,9196,1012454
1410,Trinity,December,2020,8.4%,0,0,232941
1411,Tulare,December,2020,11.8%,44400,100736,12258846
1412,Tuolumne,December,2020,9.5%,3049,4662,531751
1413,Ventura,December,2020,7.5%,34400,63706,7818782
1414,Yolo,December,2020,7.0%,12170,19850,2534266
1415,Yuba,December,2020,10.4%,6744,13425,1556737
1416,Statewide,January,2021,9.2%,2384171,4455651,525016256
1417,Alameda,January,2021,7.2%,79808,133661,15425325
1418,Alpine,January,2021,6.9%,62,101,12117
1419,Amador,January,2021,8.3%,1477,2516,294412
1420,Butte,January,2021,8.1%,16623,27476,3278018
1421,Calaveras,January,2021,7.0%,2831,4893,587358
1422,Colusa,January,2021,16.0%,965,1917,217723
1423,Contra Costa,January,2021,7.5%,42830,77919,9141815
1424,Del Norte,January,2021,9.0%,3073,5436,622188
1425,El Dorado,January,2021,6.9%,6911,10979,1328743
1426,Fresno,January,2021,10.1%,93994,261047,22988918
1427,Glenn,January,2021,8.0%,1572,3120,359646
1428,Humboldt,January,2021,7.4%,13406,21031,2596611
1429,Imperial,January,2021,16.5%,17458,37712,4358927
1430,Inyo,January,2021,6.9%,1022,1865,225067
1431,Kern,January,2021,10.8%,71792,154242,18890132
1432,Kings,January,2021,10.9%,11211,23646,2777142
1433,Lake,January,2021,8.9%,7369,12278,1417747
1434,Lassen,January,2021,7.0%,1726,3094,375281
1435,Los Angeles,January,2021,12.7%,774734,1317851,166923934
1436,Madera,January,2021,9.8%,12034,27203,3293297
1437,Marin,January,2021,5.4%,8423,12923,1685573
1438,Mariposa,January,2021,12.0%,1471,2446,291898
1439,Mendocino,January,2021,7.7%,6858,11716,1427526
1440,Merced,January,2021,11.6%,24092,51250,6268859
1441,Modoc,January,2021,9.4%,726,1311,146825
1442,Mono,January,2021,9.0%,532,860,106177
1443,Monterey,January,2021,11.5%,19928,41223,5283720
1444,Napa,January,2021,8.8%,4158,7288,824033
1445,Nevada,January,2021,6.7%,4945,7737,955347
1446,Orange,January,2021,7.3%,128369,234234,27263450
1447,Placer,January,2021,6.0%,9175,15115,1735400
1448,Plumas,January,2021,12.0%,1325,2222,266370
1449,Riverside,January,2021,8.6%,119905,237919,28889230
1450,Sacramento,January,2021,8.1%,110905,213999,25521730
1451,San Benito,January,2021,8.9%,2644,5247,639786
1452,San Bernardino,January,2021,8.6%,144573,297640,37052711
1453,San Diego,January,2021,8.0%,191965,340596,38052951
1454,San Francisco,January,2021,6.2%,59597,83673,9307208
1455,San Joaquin,January,2021,10.0%,47575,95361,11266966
1456,San Luis Obispo,January,2021,6.8%,10491,17176,1941011
1457,San Mateo,January,2021,5.7%,16166,28097,3257883
1458,Santa Barbara,January,2021,7.8%,23994,43025,5271965
1459,Santa Clara,January,2021,5.7%,60248,100806,11757972
1460,Santa Cruz,January,2021,8.7%,16204,26348,3281996
1461,Shasta,January,2021,7.9%,13693,23103,2525898
1462,Sierra,January,2021,7.6%,172,261,27516
1463,Siskiyou,January,2021,9.9%,4146,7305,852237
1464,Solano,January,2021,8.6%,24745,42955,4870878
1465,Sonoma,January,2021,7.1%,18506,30183,3536629
1466,Stanislaus,January,2021,9.4%,35690,69144,8170224
1467,Sutter,January,2021,10.4%,5532,11450,1383215
1468,Tehama,January,2021,8.1%,5012,9257,1008878
1469,Trinity,January,2021,7.8%,1160,1896,242084
1470,Tulare,January,2021,11.5%,43593,98649,12394912
1471,Tuolumne,January,2021,9.2%,3130,4829,536590
1472,Ventura,January,2021,7.4%,34498,116798,7736951
1473,Yolo,January,2021,7.0%,12244,19907,2519320
1474,Yuba,January,2021,10.1%,6883,13715,1599938
1475,Statewide,February,2021,8.4%,2396924,4358167,749752374
1476,Alameda,February,2021,6.8%,82449,137321,22031493
1477,Alpine,February,2021,7.3%,66,113,17359
1478,Amador,February,2021,7.9%,0,0,428988
1479,Butte,February,2021,7.7%,16762,27675,4736658
1480,Calaveras,February,2021,6.6%,2825,4881,841338
1481,Colusa,February,2021,15.9%,995,1966,329618
1482,Contra Costa,February,2021,7.1%,44389,80233,13095225
1483,Del Norte,February,2021,8.6%,3059,5449,890461
1484,El Dorado,February,2021,6.6%,6908,10996,1890640
1485,Fresno,February,2021,9.9%,96657,205229,33208846
1486,Glenn,February,2021,7.6%,1565,3084,507206
1487,Humboldt,February,2021,7.0%,0,0,3696053
1488,Imperial,February,2021,15.9%,17475,37741,6244594
1489,Inyo,February,2021,6.6%,1038,1906,328999
1490,Kern,February,2021,10.8%,71583,153633,27141755
1491,Kings,February,2021,10.7%,11310,23842,4027225
1492,Lake,February,2021,8.3%,7515,12569,2065780
1493,Lassen,February,2021,6.9%,1741,3133,537279
1494,Los Angeles,February,2021,10.9%,786158,1335472,236532554
1495,Madera,February,2021,9.5%,12194,27586,4762171
1496,Marin,February,2021,5.0%,8469,12982,2348370
1497,Mariposa,February,2021,10.1%,1488,2488,428486
1498,Mendocino,February,2021,7.3%,6952,11958,2078618
1499,Merced,February,2021,11.5%,24211,51601,8925997
1500,Modoc,February,2021,9.3%,738,1330,213341
1501,Mono,February,2021,7.9%,536,860,148329
1502,Monterey,February,2021,10.9%,20480,42623,7662570
1503,Napa,February,2021,7.1%,4204,7384,1202016
1504,Nevada,February,2021,6.3%,0,0,1372163
1505,Orange,February,2021,6.8%,132584,240292,38945856
1506,Placer,February,2021,5.7%,9794,15260,2497454
1507,Plumas,February,2021,12.2%,1346,2277,388378
1508,Riverside,February,2021,8.0%,120176,237868,41012977
1509,Sacramento,February,2021,7.7%,113599,217792,36083330
1510,San Benito,February,2021,8.5%,2678,5313,915313
1511,San Bernardino,February,2021,8.1%,144717,297741,51827189
1512,San Diego,February,2021,7.2%,197217,348109,55530817
1513,San Francisco,February,2021,5.7%,61938,87058,13838903
1514,San Joaquin,February,2021,9.5%,48055,96170,16367760
1515,San Luis Obispo,February,2021,6.3%,10842,17649,2809112
1516,San Mateo,February,2021,5.3%,16848,29154,4691348
1517,Santa Barbara,February,2021,7.1%,24936,44543,7646633
1518,Santa Clara,February,2021,5.3%,61832,102818,16900488
1519,Santa Cruz,February,2021,8.4%,16805,27283,4650218
1520,Shasta,February,2021,7.8%,13802,23248,3683407
1521,Sierra,February,2021,7.5%,171,259,42673
1522,Siskiyou,February,2021,9.7%,4214,7498,1244912
1523,Solano,February,2021,8.1%,25452,43972,7036206
1524,Sonoma,February,2021,6.4%,18837,30652,5021646
1525,Stanislaus,February,2021,9.0%,35917,69479,11678840
1526,Sutter,February,2021,10.3%,5593,11563,1973130
1527,Tehama,February,2021,8.0%,5103,9283,1466702
1528,Trinity,February,2021,7.6%,1164,1898,341908
1529,Tulare,February,2021,11.4%,45068,101481,17778143
1530,Tuolumne,February,2021,8.7%,3170,4907,786603
1531,Ventura,February,2021,6.8%,36565,67207,11082712
1532,Yolo,February,2021,6.8%,0,0,3572432
1533,Yuba,February,2021,9.9%,6734,13338,2243153
