,County,Year,Month,Cases,Deaths
777,Ventura,2020,June,52863,1197
778,Ventura,2020,March,892,24
779,Ventura,2020,May,24937,776
780,Ventura,2020,November,503547,5166
781,Ventura,2020,October,426509,4948
782,Ventura,2020,September,358086,4057
783,Ventura,2021,April,1760959,21839
784,Ventura,2021,February,2101513,20644
785,Ventura,2021,January,1778618,13073
786,Ventura,2021,March,2444252,28734
787,Yolo,2020,April,3223,218
788,Yolo,2020,August,61893,1428
789,Yolo,2020,December,202682,2993
790,Yolo,2020,July,32450,977
791,Yolo,2020,June,9177,720
792,Yolo,2020,March,184,10
793,Yolo,2020,May,5730,657
794,Yolo,2020,November,117562,2057
795,Yolo,2020,October,94343,1767
796,Yolo,2020,September,80202,1608
797,Yolo,2021,April,296740,4376
798,Yolo,2021,February,346152,4823
799,Yolo,2021,January,314766,4108
800,Yolo,2021,March,406566,5908
801,Yuba,2020,April,429,26
802,Yuba,2020,August,23000,137
803,Yuba,2020,December,95788,427
804,Yuba,2020,July,7956,86
805,Yuba,2020,June,1244,30
806,Yuba,2020,March,38,0
807,Yuba,2020,May,762,31
808,Yuba,2020,November,49740,300
809,Yuba,2020,October,39073,305
810,Yuba,2020,September,32400,207
811,Yuba,2021,April,133585,958
812,Yuba,2021,February,156493,983
813,Yuba,2021,January,146941,821
814,Yuba,2021,March,182187,1263
