County,Month,Date,Calendar Year,Unemployment Monthly,CalFresh Households,CalFresh Persons,Applications Recevied,Online Applications Received,EBT_FSP_dollars
Nevada,June,Jun-19,2019,3.4%,"4,614","7,515",637,273,"969,895"
Orange,June,Jun-19,2019,3.0%,"102,435","192,498","13,861","5,793","25,093,345"
Placer,June,Jun-19,2019,3.3%,"8,164","14,104","1,242",810,"1,738,999"
Plumas,June,Jun-19,2019,6.2%,"1,177","2,062",135,52,"272,242"
Riverside,June,Jun-19,2019,4.4%,"113,429","235,205","16,706","7,662","30,379,263"
Sacramento,June,Jun-19,2019,3.9%,"99,131","195,345","14,085","6,435","26,122,121"
San Benito,June,Jun-19,2019,4.9%,"2,115","4,385",236,99,"552,959"
San Bernardino,June,Jun-19,2019,4.1%,"152,151","317,856","19,801","7,763","41,543,435"
San Diego,June,Jun-19,2019,3.3%,"135,710","253,326","16,954","9,419","32,065,243"
San Francisco,June,Jun-19,2019,2.3%,"38,038","54,915","7,087","4,087","6,772,984"
San Joaquin,June,Jun-19,2019,6.0%,"43,893","91,978","5,656","2,858","11,690,557"
San Luis Obispo,June,Jun-19,2019,3.0%,"9,206","15,056","1,163",441,"1,994,356"
San Mateo,June,Jun-19,2019,2.2%,"11,721","20,932","1,795",839,"2,617,265"
Santa Barbara,June,Jun-19,2019,3.5%,"21,262","38,386","2,495","1,409","5,167,560"
Santa Clara,June,Jun-19,2019,2.6%,"43,496","76,884","5,897","2,945","9,696,405"
Santa Cruz,June,Jun-19,2019,4.2%,"14,259","23,243","1,414",711,"3,150,900"
Shasta,June,Jun-19,2019,4.6%,"12,668","22,372","2,190",770,"2,748,879"
Sierra,June,Jun-19,2019,5.1%,141,234,15,2,"28,277"
Siskiyou,June,Jun-19,2019,5.8%,"3,441","6,589",503,206,"814,200"
Solano,June,Jun-19,2019,3.9%,"20,220","35,725","2,523","1,200","4,861,232"
Sonoma,June,Jun-19,2019,2.8%,"15,529","26,279","1,480",850,"3,270,341"
Stanislaus,June,Jun-19,2019,6.5%,"35,025","70,553","5,419","2,044","9,007,345"
Sutter,June,Jun-19,2019,7.1%,"4,978","10,979",668,265,"1,390,259"
Tehama,June,Jun-19,2019,5.7%,"4,571","9,092",683,218,"1,105,724"
Trinity,June,Jun-19,2019,4.9%,978,"1,599",142,41,"216,378"
Tulare,June,Jun-19,2019,9.1%,"49,375","110,977","3,854",651,"14,362,695"
Tuolumne,June,Jun-19,2019,4.4%,"2,807","4,511",401,103,"562,405"
Ventura,June,Jun-19,2019,3.6%,"32,972","61,143","4,020","1,356","7,959,143"
Yolo,June,Jun-19,2019,4.0%,"10,678","18,091","1,654",733,"2,428,051"
Yuba,June,Jun-19,2019,6.1%,"6,471","13,079",916,248,"1,653,774"
Statewide,July,Jul-19,2019,4.4%,"2,068,022","3,950,372","232,379","109,431","506,809,031"
Alameda,July,Jul-19,2019,3.3%,"59,750","104,208","8,442","3,948","13,576,468"
Alpine,July,Jul-19,2019,7.2%,79,132,4,1,"16,271"
Amador,July,Jul-19,2019,4.0%,"1,460","2,550",192,43,"313,915"
Butte,July,Jul-19,2019,5.4%,"16,541","28,433","2,057","1,037","3,655,231"
Calaveras,July,Jul-19,2019,3.9%,"2,764","4,688",240,59,"600,722"
Colusa,July,Jul-19,2019,10.2%,673,"1,401",82,30,"163,119"
Contra Costa,July,Jul-19,2019,3.4%,"31,035","59,069","3,805","1,867","7,689,788"
Del Norte,July,Jul-19,2019,5.7%,"2,787","5,108",251,45,"617,815"
El Dorado,July,Jul-19,2019,3.8%,"6,604","10,877",763,232,"1,404,292"
Fresno,July,Jul-19,2019,7.3%,"91,690","209,866","8,166","3,745","25,807,354"
Glenn,July,Jul-19,2019,6.7%,"1,611","3,291",186,67,"386,743"
Humboldt,July,Jul-19,2019,4.0%,"13,616","21,370","1,493",502,"2,766,637"
Imperial,July,Jul-19,2019,20.7%,"17,567","39,276","1,774",399,"4,688,000"
Inyo,July,Jul-19,2019,3.6%,931,"1,730",86,2,"220,072"
Kern,July,Jul-19,2019,8.4%,"69,829","152,322","9,217","3,727","19,404,666"
Kings,July,Jul-19,2019,7.8%,"10,940","23,288","1,119",264,"2,839,945"
Lake,July,Jul-19,2019,5.1%,"7,239","12,139",658,204,"1,492,374"
Lassen,July,Jul-19,2019,4.7%,"1,644","3,027",177,4,"387,447"
Los Angeles,July,Jul-19,2019,5.0%,"628,409","1,128,251","71,303","42,383","149,907,172"
Madera,July,Jul-19,2019,7.4%,"11,008","25,682",906,208,"3,222,392"
Marin,July,Jul-19,2019,2.5%,"6,389","9,863",621,252,"1,303,992"
Mariposa,July,Jul-19,2019,3.9%,"1,127","1,979",98,13,"241,479"
Mendocino,July,Jul-19,2019,4.0%,"6,423","11,305",677,131,"1,489,412"
Merced,July,Jul-19,2019,8.4%,"23,883","51,393","2,110",602,"6,438,089"
Modoc,July,Jul-19,2019,6.4%,702,"1,356",59,12,"159,079"
Mono,July,Jul-19,2019,3.5%,341,589,38,5,"79,109"
Monterey,July,Jul-19,2019,4.7%,"17,417","36,186","1,911",745,"4,502,912"
Napa,July,Jul-19,2019,3.0%,"2,891","5,377",343,121,"644,717"
Nevada,July,Jul-19,2019,3.6%,"4,713","7,621",509,191,"971,611"
Orange,July,Jul-19,2019,3.2%,"104,569","200,297","11,895","4,664","25,072,849"
Placer,July,Jul-19,2019,3.5%,"8,368","14,523",976,552,"1,751,485"
Plumas,July,Jul-19,2019,6.4%,"1,214","2,104",141,58,"271,666"
Riverside,July,Jul-19,2019,4.8%,"117,656","241,077","15,549","6,858","31,036,222"
Sacramento,July,Jul-19,2019,4.1%,"102,734","205,508","12,188","5,326","26,520,852"
San Benito,July,Jul-19,2019,5.1%,"2,165","4,443",200,64,"552,697"
San Bernardino,July,Jul-19,2019,4.5%,"156,431","324,722","16,583","5,946","42,102,706"
San Diego,July,Jul-19,2019,3.6%,"140,326","263,578","15,596","8,408","32,347,647"
San Francisco,July,Jul-19,2019,2.4%,"41,396","59,410","5,620","3,021","7,008,015"
San Joaquin,July,Jul-19,2019,6.3%,"45,380","94,081","4,881","2,196","11,816,899"
San Luis Obispo,July,Jul-19,2019,3.2%,"9,319","15,504","1,022",358,"1,972,185"
San Mateo,July,Jul-19,2019,2.3%,"11,881","21,052","1,507",628,"2,598,135"
Santa Barbara,July,Jul-19,2019,3.7%,"21,075","38,466","2,099","1,140","5,002,357"
Santa Clara,July,Jul-19,2019,2.8%,"46,067","79,839","4,893","2,028","9,958,321"
Santa Cruz,July,Jul-19,2019,4.3%,"14,427","23,256","1,172",531,"3,067,484"
Shasta,July,Jul-19,2019,4.9%,"13,068","22,993","1,775",578,"2,740,416"
Sierra,July,Jul-19,2019,5.1%,147,234,12,2,"26,769"
Siskiyou,July,Jul-19,2019,6.0%,"3,503","6,625",357,126,"806,001"
Solano,July,Jul-19,2019,4.2%,"20,660","37,003","2,231",954,"4,852,441"
Sonoma,July,Jul-19,2019,3.0%,"15,865","26,229","1,536",760,"3,285,813"
Stanislaus,July,Jul-19,2019,6.6%,"36,656","72,673","4,119","1,284","9,161,112"
Sutter,July,Jul-19,2019,6.9%,"5,189","11,216",602,236,"1,402,330"
Tehama,July,Jul-19,2019,6.1%,"4,844","9,506",600,196,"1,137,404"
Trinity,July,Jul-19,2019,5.1%,"1,003","1,651",104,30,"212,421"
Tulare,July,Jul-19,2019,10.0%,"50,021","112,456","3,261",512,"14,447,140"
Tuolumne,July,Jul-19,2019,4.6%,"2,941","4,666",360,88,"578,185"
Ventura,July,Jul-19,2019,3.9%,"33,279","62,774","3,658","1,146","7,949,222"
Yolo,July,Jul-19,2019,4.6%,"11,052","18,652","1,499",729,"2,461,186"
Yuba,July,Jul-19,2019,6.4%,"6,723","13,457",656,173,"1,678,246"
Statewide,August,Aug-19,2019,4.2%,"2,115,269","4,022,863","200,635","91,720","510,698,869"
Alameda,August,Aug-19,2019,3.1%,"62,122","107,992","7,459","3,609","13,848,209"
Alpine,August,Aug-19,2019,5.7%,79,123,4,1,"14,673"
Amador,August,Aug-19,2019,3.7%,"1,477","2,577",159,38,"311,354"
Butte,August,Aug-19,2019,4.9%,"16,647","28,566","2,381","1,506","3,562,711"
Calaveras,August,Aug-19,2019,3.7%,"2,812","4,820",266,62,"612,231"
Colusa,August,Aug-19,2019,8.5%,697,"1,439",76,26,"165,363"
Contra Costa,August,Aug-19,2019,3.2%,"32,503","61,293","3,233","1,567","7,871,919"
Del Norte,August,Aug-19,2019,5.5%,"2,867","5,226",243,34,"626,169"
El Dorado,August,Aug-19,2019,3.6%,"6,706","11,039",650,191,"1,406,379"
Fresno,August,Aug-19,2019,6.6%,"92,742","211,077","7,090","3,411","25,738,031"
Glenn,August,Aug-19,2019,6.1%,"1,611","3,291",165,43,"394,196"
Humboldt,August,Aug-19,2019,3.7%,"13,769","21,655","1,535",419,"2,771,099"
Imperial,August,Aug-19,2019,22.1%,"17,983","40,018","1,460",286,"4,715,808"
Inyo,August,Aug-19,2019,3.3%,955,"1,758",77,10,"222,695"
Kern,August,Aug-19,2019,7.4%,"70,467","154,596","7,409","2,952","19,553,451"
Kings,August,Aug-19,2019,7.0%,"11,053","23,582",999,265,"2,847,140"
Lake,August,Aug-19,2019,4.5%,"7,282","12,177",546,152,"1,473,066"
Lassen,August,Aug-19,2019,4.3%,"1,679","3,110",148,10,"388,304"
Los Angeles,August,Aug-19,2019,4.7%,"648,760","1,157,346","56,789","32,046","152,050,085"
Madera,August,Aug-19,2019,6.5%,"11,160","25,966",863,175,"3,221,474"
Marin,August,Aug-19,2019,2.4%,"6,492","9,987",541,181,"1,315,892"
Mariposa,August,Aug-19,2019,3.7%,"1,155","2,020",106,17,"243,249"
Mendocino,August,Aug-19,2019,3.6%,"6,511","11,358",605,130,"1,470,653"
Merced,August,Aug-19,2019,7.2%,"24,343","52,048","2,053",635,"6,482,093"
Modoc,August,Aug-19,2019,5.7%,713,"1,377",49,8,"158,410"
Mono,August,Aug-19,2019,3.3%,345,596,39,12,"78,677"
Monterey,August,Aug-19,2019,4.2%,"17,309","35,712","1,838",667,"4,349,511"
Napa,August,Aug-19,2019,2.7%,"2,922","5,351",346,118,"637,602"
Nevada,August,Aug-19,2019,3.3%,"4,744","7,621",460,153,"967,724"
Orange,August,Aug-19,2019,3.0%,"106,642","203,646","10,836","4,123","25,233,657"
Placer,August,Aug-19,2019,3.3%,"8,537","14,652",850,463,"1,746,578"
Plumas,August,Aug-19,2019,5.8%,"1,217","2,079",184,71,"265,844"
Riverside,August,Aug-19,2019,4.6%,"120,127","245,209","13,940","6,239","31,375,957"
Sacramento,August,Aug-19,2019,3.9%,"105,854","211,193","10,429","4,351","26,924,719"
San Benito,August,Aug-19,2019,4.6%,"2,188","4,476",185,60,"557,578"
San Bernardino,August,Aug-19,2019,4.1%,"159,016","329,053","14,684","5,308","42,262,418"
San Diego,August,Aug-19,2019,3.4%,"141,850","266,429","14,499","7,620","32,291,019"
San Francisco,August,Aug-19,2019,2.3%,"43,423","61,780","4,981","2,723","7,162,964"
San Joaquin,August,Aug-19,2019,5.8%,"46,256","95,514","4,351","1,846","11,840,504"
San Luis Obispo,August,Aug-19,2019,3.1%,"9,460","15,721",889,297,"1,969,358"
San Mateo,August,Aug-19,2019,2.1%,"12,102","21,315","1,485",511,"2,630,388"
Santa Barbara,August,Aug-19,2019,3.4%,"20,864","38,030","2,174","1,152","4,882,283"
Santa Clara,August,Aug-19,2019,2.6%,"46,990","80,972","4,406","1,881","9,993,423"
Santa Cruz,August,Aug-19,2019,3.9%,"14,305","23,189","1,065",423,"3,052,285"
Shasta,August,Aug-19,2019,4.4%,"13,464","23,464","1,590",507,"2,749,479"
Sierra,August,Aug-19,2019,4.6%,145,235,10,0,"27,195"
Siskiyou,August,Aug-19,2019,5.5%,"3,613","6,802",352,120,"816,510"
Solano,August,Aug-19,2019,3.8%,"20,989","37,728","1,856",791,"4,921,955"
Sonoma,August,Aug-19,2019,2.7%,"16,242","26,679","1,364",704,"3,304,638"
Stanislaus,August,Aug-19,2019,5.8%,"37,433","73,742","3,462","1,021","9,170,548"
Sutter,August,Aug-19,2019,6.0%,"5,328","11,431",485,197,"1,413,675"
Tehama,August,Aug-19,2019,5.5%,"4,950","9,741",476,154,"1,133,875"
Trinity,August,Aug-19,2019,4.5%,"1,033","1,668",106,24,"213,509"
Tulare,August,Aug-19,2019,9.2%,"50,641","113,804","2,779",482,"14,503,665"
Tuolumne,August,Aug-19,2019,4.3%,"2,972","4,694",309,61,"567,481"
Ventura,August,Aug-19,2019,3.9%,"33,601","63,171","3,209",947,"8,019,918"
Yolo,August,Aug-19,2019,3.9%,"11,236","18,953","1,505",755,"2,479,644"
Yuba,August,Aug-19,2019,6.0%,"6,886","13,772",585,165,"1,689,635"
Statewide,September,Sep-19,2019,3.5%,"2,140,032","4,051,626","177,293","84,900","507,692,033"
Alameda,September,Sep-19,2019,2.5%,"63,246","109,700","6,555","3,280","13,789,695"
Alpine,September,Sep-19,2019,4.6%,74,115,5,0,"14,420"
Amador,September,Sep-19,2019,3.0%,"1,493","2,584",154,31,"309,807"
Butte,September,Sep-19,2019,3.7%,"16,651","28,577","2,020","1,276","3,511,046"
Calaveras,September,Sep-19,2019,3.0%,"2,827","4,830",212,55,"606,932"
Colusa,September,Sep-19,2019,6.6%,682,"1,415",69,19,"158,059"
Contra Costa,September,Sep-19,2019,2.6%,"33,032","62,186","2,848","1,390","7,838,094"
Del Norte,September,Sep-19,2019,4.5%,"2,886","5,287",204,37,"609,450"
El Dorado,September,Sep-19,2019,2.8%,"6,693","11,047",620,181,"1,400,384"
Fresno,September,Sep-19,2019,5.3%,"93,293","212,249","5,929","2,879","25,446,536"
Glenn,September,Sep-19,2019,4.4%,"1,658","3,377",138,34,"389,596"
Humboldt,September,Sep-19,2019,2.7%,"13,735","21,518","1,328",432,"2,708,625"
Imperial,September,Sep-19,2019,20.7%,"18,081","40,149","1,146",244,"4,678,622"
Inyo,September,Sep-19,2019,2.7%,958,"1,761",81,7,"220,437"
Kern,September,Sep-19,2019,6.0%,"71,851","154,999","6,104","2,391","19,285,852"
Kings,September,Sep-19,2019,5.7%,"11,145","23,601",800,200,"2,838,840"
Lake,September,Sep-19,2019,3.7%,"7,354","12,205",511,148,"1,460,365"
Lassen,September,Sep-19,2019,3.3%,"1,667","3,066",127,15,"377,463"
Los Angeles,September,Sep-19,2019,4.5%,"659,550","1,171,354","50,901","29,235","151,920,035"
Madera,September,Sep-19,2019,5.0%,"11,133","25,763",673,138,"3,163,382"
Marin,September,Sep-19,2019,1.9%,"6,466","9,988",493,166,"1,302,590"
Mariposa,September,Sep-19,2019,3.0%,"1,178","2,045",75,17,"244,180"
Mendocino,September,Sep-19,2019,2.9%,"6,610","11,482",505,107,"1,459,352"
Merced,September,Sep-19,2019,5.5%,"24,341","51,942","1,859",678,"6,380,691"
Modoc,September,Sep-19,2019,4.4%,711,"1,369",63,13,"157,819"
Mono,September,Sep-19,2019,3.0%,351,602,40,15,"76,440"
Monterey,September,Sep-19,2019,3.3%,"17,089","35,071","1,570",561,"4,207,677"
Napa,September,Sep-19,2019,2.2%,"2,933","5,321",307,89,"618,932"
Nevada,September,Sep-19,2019,2.6%,"4,790","7,689",398,147,"977,254"
Orange,September,Sep-19,2019,2.4%,"108,371","205,850","9,291","3,960","25,146,918"
Placer,September,Sep-19,2019,2.6%,"8,585","14,617",767,428,"1,738,460"
Plumas,September,Sep-19,2019,4.6%,"1,243","2,108",114,26,"265,847"
Riverside,September,Sep-19,2019,3.8%,"121,660","247,090","12,450","5,837","31,341,179"
Sacramento,September,Sep-19,2019,3.1%,"107,293","213,801","9,330","4,180","26,739,519"
San Benito,September,Sep-19,2019,3.7%,"2,159","4,387",177,58,"554,581"
San Bernardino,September,Sep-19,2019,3.3%,"159,837","330,091","11,853","4,749","41,964,887"
San Diego,September,Sep-19,2019,2.7%,"142,681","265,399","13,150","7,063","31,950,306"
San Francisco,September,Sep-19,2019,1.8%,"44,630","63,227","4,246","2,319","7,145,947"
San Joaquin,September,Sep-19,2019,4.7%,"46,445","95,819","3,594","1,592","11,730,387"
San Luis Obispo,September,Sep-19,2019,2.4%,"9,517","15,746",994,439,"1,960,100"
San Mateo,September,Sep-19,2019,1.7%,"12,145","21,277","1,210",523,"2,603,649"
Santa Barbara,September,Sep-19,2019,2.8%,"20,673","37,725","2,477","1,555","4,761,720"
Santa Clara,September,Sep-19,2019,2.1%,"47,991","82,231","3,806","1,478","10,064,673"
Santa Cruz,September,Sep-19,2019,3.1%,"14,258","22,971","1,199",590,"2,973,658"
Shasta,September,Sep-19,2019,3.5%,"13,763","23,954","1,287",397,"2,771,338"
Sierra,September,Sep-19,2019,3.5%,147,241,13,2,"26,454"
Siskiyou,September,Sep-19,2019,4.3%,"3,650","6,875",305,133,"815,240"
Solano,September,Sep-19,2019,3.1%,"21,505","38,382","1,749",734,"4,936,513"
Sonoma,September,Sep-19,2019,2.2%,"16,337","26,758","1,436",757,"3,258,448"
Stanislaus,September,Sep-19,2019,4.6%,"37,712","74,074","3,283","1,126","9,069,567"
Sutter,September,Sep-19,2019,4.9%,"5,289","11,303",417,168,"1,379,456"
Tehama,September,Sep-19,2019,4.2%,"4,952","9,636",429,133,"1,102,928"
Trinity,September,Sep-19,2019,3.7%,"1,023","1,653",99,26,"211,329"
Tulare,September,Sep-19,2019,7.6%,"50,588","114,005","2,252",640,"14,361,793"
Tuolumne,September,Sep-19,2019,3.4%,"2,994","4,769",291,75,"568,034"
Ventura,September,Sep-19,2019,3.2%,"33,925","63,597","2,909",855,"7,995,058"
Yolo,September,Sep-19,2019,3.1%,"11,245","18,905","1,916","1,120","2,437,236"
Yuba,September,Sep-19,2019,4.8%,"6,936","13,843",514,152,"1,664,234"
Statewide,October,Oct-19,2019,3.7%,"2,155,218","4,073,801","189,146","90,957","508,382,815"
Alameda,October,Oct-19,2019,2.6%,"64,496","111,973","6,614","3,149","13,959,001"
Alpine,October,Oct-19,2019,5.2%,72,112,4,1,"13,856"
Amador,October,Oct-19,2019,3.2%,"1,493","2,564",151,51,"303,189"
Butte,October,Oct-19,2019,3.8%,"16,868","28,654","1,780",997,"3,555,188"
Calaveras,October,Oct-19,2019,3.2%,"2,832","4,836",213,66,"599,929"
Colusa,October,Oct-19,2019,7.3%,701,"1,436",75,22,"163,605"
Contra Costa,October,Oct-19,2019,2.7%,"33,657","64,001","3,023","1,437","7,883,359"
Del Norte,October,Oct-19,2019,4.9%,"2,895","5,280",221,42,"609,456"
El Dorado,October,Oct-19,2019,3.0%,"6,758","11,045",615,175,"1,395,140"
Fresno,October,Oct-19,2019,5.8%,"93,389","213,781","6,686","3,148","25,163,081"
Glenn,October,Oct-19,2019,4.4%,"1,645","3,303",127,34,"385,549"
Humboldt,October,Oct-19,2019,2.9%,"13,828","21,579","1,266",404,"2,714,108"
Imperial,October,Oct-19,2019,21.2%,"18,278","40,402","1,153",263,"4,659,243"
Inyo,October,Oct-19,2019,2.9%,968,"1,779",89,11,"223,905"
Kern,October,Oct-19,2019,6.1%,"72,053","155,017","6,890","2,750","19,058,804"
Kings,October,Oct-19,2019,6.3%,"11,192","23,673",962,240,"2,837,917"
Lake,October,Oct-19,2019,4.1%,"7,435","12,317",445,126,"1,482,054"
Lassen,October,Oct-19,2019,3.2%,"1,685","3,080",153,22,"376,109"
Los Angeles,October,Oct-19,2019,4.5%,"665,549","1,176,731","54,155","31,570","152,655,368"
Madera,October,Oct-19,2019,5.4%,"11,160","25,620",873,237,"3,118,585"
Marin,October,Oct-19,2019,2.0%,"6,449","9,926",519,191,"1,304,989"
Mariposa,October,Oct-19,2019,3.4%,"1,203","2,070",91,15,"248,226"
Mendocino,October,Oct-19,2019,3.1%,"6,627","11,503",498,127,"1,468,915"
Merced,October,Oct-19,2019,5.8%,"24,462","51,786","1,871",593,"6,307,358"
Modoc,October,Oct-19,2019,4.6%,716,"1,366",50,11,"155,768"
Mono,October,Oct-19,2019,3.6%,354,582,43,16,"78,258"
Monterey,October,Oct-19,2019,3.7%,"16,891","34,383","2,174",680,"4,113,851"
Napa,October,Oct-19,2019,2.3%,"2,972","5,321",339,94,"620,888"
Nevada,October,Oct-19,2019,2.9%,"4,836","7,723",405,161,"980,038"
Orange,October,Oct-19,2019,2.5%,"108,947","206,194","10,176","4,524","25,172,191"
Placer,October,Oct-19,2019,2.8%,"8,687","14,542",749,428,"1,749,100"
Plumas,October,Oct-19,2019,4.9%,"1,265","2,131",127,45,"272,685"
Riverside,October,Oct-19,2019,3.9%,"122,576","247,682","13,222","6,284","31,439,981"
Sacramento,October,Oct-19,2019,3.2%,"108,176","215,830","9,528","4,296","26,716,215"
San Benito,October,Oct-19,2019,4.0%,"2,176","4,361",169,49,"541,933"
San Bernardino,October,Oct-19,2019,3.5%,"160,309","330,490","12,555","5,152","41,782,500"
San Diego,October,Oct-19,2019,2.8%,"144,182","267,182","14,562","7,841","32,357,623"
San Francisco,October,Oct-19,2019,2.0%,"45,632","64,344","4,055","2,080","7,345,324"
San Joaquin,October,Oct-19,2019,5.0%,"46,557","95,729","3,855","1,664","11,615,853"
San Luis Obispo,October,Oct-19,2019,2.4%,"9,650","15,984",932,358,"1,993,279"
San Mateo,October,Oct-19,2019,1.8%,"12,146","21,139","1,316",524,"2,618,823"
Santa Barbara,October,Oct-19,2019,3.0%,"20,775","37,786","3,147","2,055","4,752,888"
Santa Clara,October,Oct-19,2019,2.2%,"48,806","82,864","3,842","1,645","10,198,765"
Santa Cruz,October,Oct-19,2019,3.3%,"14,554","23,279","1,374",688,"3,048,423"
Shasta,October,Oct-19,2019,3.8%,"13,886","24,105","1,338",411,"2,769,141"
Sierra,October,Oct-19,2019,3.9%,153,248,9,1,"28,408"
Siskiyou,October,Oct-19,2019,4.5%,"3,697","6,893",347,152,"807,746"
Solano,October,Oct-19,2019,3.3%,"19,358","38,193","1,631",661,"4,865,882"
Sonoma,October,Oct-19,2019,2.3%,"16,385","29,364","1,317",684,"3,251,377"
Stanislaus,October,Oct-19,2019,4.9%,"37,874","74,246","3,367","1,157","8,994,017"
Sutter,October,Oct-19,2019,5.3%,"5,346","11,290",490,195,"1,371,054"
Tehama,October,Oct-19,2019,4.3%,"5,063","9,791",398,132,"1,105,263"
Trinity,October,Oct-19,2019,4.4%,"1,037","1,677",87,33,"213,672"
Tulare,October,Oct-19,2019,8.0%,"50,609","113,767","3,267","1,121","14,129,662"
Tuolumne,October,Oct-19,2019,3.6%,"3,056","4,858",289,90,"570,668"
Ventura,October,Oct-19,2019,3.3%,"34,187","63,785","3,268",970,"8,020,499"
Yolo,October,Oct-19,2019,3.2%,"11,642","20,229","1,753",940,"2,552,468"
Yuba,October,Oct-19,2019,5.1%,"7,023","13,975",491,144,"1,661,639"
Statewide,November,Nov-19,2019,3.7%,"2,162,412","4,075,278","154,075","70,903","504,082,616"
Alameda,November,Nov-19,2019,2.6%,"64,654","112,311","5,294","2,395","13,828,243"
Alpine,November,Oct-19,2019,4.7%,70,105,5,1,"12,682"
Amador,November,Oct-19,2019,3.4%,"1,481","2,546",132,28,"304,528"
Butte,November,Oct-19,2019,4.0%,"16,884","28,548","1,375",751,"3,503,788"
Calaveras,November,Oct-19,2019,3.3%,"2,829","4,809",193,55,"601,799"
Colusa,November,Oct-19,2019,10.5%,711,"1,472",62,21,"171,612"
Contra Costa,November,Oct-19,2019,2.7%,"33,702","63,723","2,368","1,145","7,774,672"
Del Norte,November,Oct-19,2019,5.3%,"2,926","5,286",204,47,"601,460"
El Dorado,November,Oct-19,2019,3.1%,"6,688","10,951",583,209,"1,376,822"
Fresno,November,Oct-19,2019,6.5%,"93,189","213,028","5,470","2,612","24,904,936"
Glenn,November,Oct-19,2019,4.7%,"1,644","3,291",116,29,"382,815"
Humboldt,November,Oct-19,2019,3.0%,"13,653","21,347","1,165",343,"2,704,357"
Imperial,November,Oct-19,2019,20.6%,"18,242","40,180",982,219,"4,593,014"
Inyo,November,Oct-19,2019,3.1%,994,"1,823",74,3,"227,508"
Kern,November,Oct-19,2019,6.4%,"72,077","155,370","5,878","2,131","18,870,522"
Kings,November,Oct-19,2019,7.1%,"11,311","23,969",872,207,"2,852,148"
Lake,November,Oct-19,2019,4.5%,"7,337","12,135",456,137,"1,449,267"
Lassen,November,Oct-19,2019,3.6%,"1,670","3,070",127,17,"370,402"
Los Angeles,November,Oct-19,2019,4.2%,"669,546","1,181,126","43,340","25,102","151,750,683"
Madera,November,Oct-19,2019,6.1%,"11,349","25,936",777,147,"3,143,264"
Marin,November,Oct-19,2019,2.0%,"6,536","9,995",490,200,"1,301,259"
Mariposa,November,Oct-19,2019,4.1%,"1,185","2,055",72,24,"241,087"
Mendocino,November,Oct-19,2019,3.4%,"6,630","11,418",547,127,"1,422,130"
Merced,November,Oct-19,2019,6.5%,"24,418","51,803","1,639",436,"6,273,998"
Modoc,November,Oct-19,2019,5.6%,728,"1,387",52,12,"159,124"
Mono,November,Oct-19,2019,3.6%,345,565,55,12,"74,759"
Monterey,November,Oct-19,2019,4.5%,"16,973","34,464","2,456",555,"4,131,362"
Napa,November,Oct-19,2019,2.6%,"2,980","5,326",299,87,"622,415"
Nevada,November,Oct-19,2019,2.9%,"4,761","7,641",334,100,"969,048"
Orange,November,Oct-19,2019,2.5%,"108,899","206,001","8,221","3,392","24,924,191"
Placer,November,Oct-19,2019,2.8%,"8,600","14,426",645,360,"1,728,898"
Plumas,November,Oct-19,2019,6.0%,"1,274","2,138",91,31,"268,130"
Riverside,November,Oct-19,2019,3.8%,"122,232","246,399","10,434","4,735","31,028,702"
Sacramento,November,Oct-19,2019,3.2%,"108,769","217,395","7,776","3,284","26,592,234"
San Benito,November,Oct-19,2019,4.3%,"2,185","4,347",179,47,"534,063"
San Bernardino,November,Oct-19,2019,3.4%,"160,124","329,938","10,293","3,743","41,307,557"
San Diego,November,Oct-19,2019,2.9%,"144,112","266,687","11,259","5,938","32,086,201"
San Francisco,November,Oct-19,2019,2.0%,"46,054","64,750","3,124","1,488","7,304,508"
San Joaquin,November,Oct-19,2019,5.3%,"46,426","95,344","3,423","1,549","11,403,624"
San Luis Obispo,November,Oct-19,2019,2.5%,"9,685","16,015",734,270,"1,966,471"
San Mateo,November,Oct-19,2019,1.8%,"12,161","21,094","1,039",419,"2,589,332"
Santa Barbara,November,Oct-19,2019,3.1%,"21,150","38,238","2,133","1,076","4,794,086"
Santa Clara,November,Oct-19,2019,2.3%,"49,160","83,124","3,175","1,285","10,137,350"
Santa Cruz,November,Oct-19,2019,3.9%,"14,759","23,249","1,152",462,"3,065,884"
Shasta,November,Oct-19,2019,3.9%,"13,873","24,033","1,134",353,"2,726,785"
Sierra,November,Oct-19,2019,4.0%,158,256,11,1,"28,472"
Siskiyou,November,Oct-19,2019,5.0%,"3,721","6,948",287,113,"807,251"
Solano,November,Oct-19,2019,3.3%,"21,622","38,226","1,348",493,"4,837,097"
Sonoma,November,Oct-19,2019,2.4%,"16,490","29,235","1,452",702,"3,213,553"
Stanislaus,November,Oct-19,2019,5.2%,"37,895","73,906","2,764",955,"8,907,443"
Sutter,November,Oct-19,2019,6.0%,"5,375","11,331",420,145,"1,358,983"
Tehama,November,Oct-19,2019,4.5%,"4,985","9,692",370,104,"1,092,777"
Trinity,November,Oct-19,2019,4.8%,"1,048","1,698",66,21,"220,117"
Tulare,November,Oct-19,2019,8.5%,"50,182","113,362","2,365","1,259","13,853,546"
Tuolumne,November,Oct-19,2019,3.7%,"3,020","4,779",264,67,"559,357"
Ventura,November,Oct-19,2019,3.4%,"34,071","63,422","2,705",762,"7,896,284"
Yolo,November,Oct-19,2019,3.6%,"11,852","19,576","1,410",589,"2,586,655"
