County,Month,Date,Calendar Year,Unemployment Monthly,CalFresh Households,CalFresh Persons,Applications Recevied,Online Applications Received,EBT_FSP_dollars
Butte,February,Feb-19,2019,6.1%,"3,066","5,767","1,198",662,"735,039"
Calaveras,February,Feb-19,2019,4.6%,356,691,147,34,"83,713"
Colusa,February,Feb-19,2019,20.4%,140,306,80,36,"34,097"
Contra Costa,February,Feb-19,2019,3.3%,"6,744","8,101","1,834",712,"1,421,479"
Del Norte,February,Feb-19,2019,6.5%,358,720,130,29,"80,504"
El Dorado,February,Feb-19,2019,4.2%,978,"1,857",528,112,"223,618"
Fresno,February,Feb-19,2019,8.9%,"87,955","201,166","4,214","1,659","4,336,984"
Glenn,February,Feb-19,2019,8.1%,275,645,110,28,"75,917"
Humboldt,February,Feb-19,2019,4.2%,"1,992","3,457","1,017",301,"426,193"
Imperial,February,Feb-19,2019,17.3%,"2,604","6,868",795,121,"754,931"
Inyo,February,Feb-19,2019,4.6%,118,266,38,0,"28,712"
Kern,February,Feb-19,2019,9.3%,"10,558","25,850","4,841","1,719","3,036,402"
Kings,February,Feb-19,2019,10.0%,"1,760","4,241",666,138,"462,418"
Lake,February,Feb-19,2019,6.1%,740,"1,429",314,52,"171,595"
Lassen,February,Feb-19,2019,6.2%,230,495,94,12,"61,231"
Los Angeles,February,Feb-19,2019,4.3%,"77,544","158,145","35,757","22,200","19,526,464"
Madera,February,Feb-19,2019,8.2%,"1,426","3,411",547,78,"393,802"
Marin,February,Feb-19,2019,2.5%,852,"1,432",443,168,"183,708"
Mariposa,February,Feb-19,2019,7.0%,150,308,40,8,"35,072"
Mendocino,February,Feb-19,2019,5.1%,"1,018","2,007",449,53,"265,740"
Merced,February,Feb-19,2019,10.6%,"3,094","7,248","1,272",292,"832,434"
Modoc,February,Feb-19,2019,10.9%,90,197,34,7,"23,742"
Mono,February,Feb-19,2019,3.6%,48,95,17,5,"10,475"
Monterey,February,Feb-19,2019,10.3%,"3,713","8,687","1,512",532,"1,008,713"
Napa,February,Feb-19,2019,3.4%,484,982,258,45,"124,723"
Nevada,February,Feb-19,2019,3.9%,700,"1,257",362,145,"158,592"
Orange,February,Feb-19,2019,3.0%,"15,997","25,943","6,872","2,779","4,083,986"
Placer,February,Feb-19,2019,3.5%,"1,327","13,632",556,335,"313,840"
Plumas,February,Feb-19,2019,12.4%,213,410,82,24,"50,978"
Riverside,February,Feb-19,2019,4.5%,"17,770","41,109","8,526","3,449","4,985,007"
Sacramento,February,Feb-19,2019,4.0%,"14,760","25,413","6,576","2,768","4,003,128"
San Benito,February,Feb-19,2019,6.6%,336,798,154,44,"84,555"
San Bernardino,February,Feb-19,2019,4.1%,"24,450","56,910","9,006","2,894","6,672,007"
San Diego,February,Feb-19,2019,3.5%,"22,732","35,397","10,538","5,142","5,640,525"
